Item ID,Category,Brand,Price,Color,Size,Target Customer,Description
FI001,Sweater,Zara,204.14,Yellow,M,College Student,"A stylish yellow sweater from Zara, perfect for college students."
FI002,Jeans,Levi's,407.02,Blue,XL,College Student,"A stylish blue jeans from Levi's, perfect for college students."
FI003,Shoes,Prada,486.55,Grey,L,Executive,"A stylish grey shoes from Prada, perfect for executives."
FI004,Jeans,Prada,61.71,Yellow,XS,Executive,"A stylish yellow jeans from Prada, perfect for executives."
FI005,Jacket,Levi's,431.92,Green,M,New Employee,"A stylish green jacket from Levi's, perfect for new employees."
FI006,Dress,Nike,253.36,Black,L,College Student,"A stylish black dress from Nike, perfect for college students."
FI007,Skirt,Gucci,59.99,Green,XS,College Student,"A stylish green skirt from Gucci, perfect for college students."
FI008,T-shirt,Zara,226.26,White,XL,Executive,"A stylish white t-shirt from Zara, perfect for executives."
FI009,Sweater,H&M,278.01,White,L,College Student,"A stylish white sweater from H&M, perfect for college students."
FI010,Shoes,Zara,43.14,Yellow,XL,College Student,"A stylish yellow shoes from Zara, perfect for college students."
FI011,Skirt,Nike,262.91,Green,S,College Student,"A stylish green skirt from Nike, perfect for college students."
FI012,Shoes,H&M,370.35,Grey,S,New Employee,"A stylish grey shoes from H&M, perfect for new employees."
FI013,T-shirt,Nike,273.0,Green,XS,Executive,"A stylish green t-shirt from Nike, perfect for executives."
FI014,Sweater,Adidas,66.08,Blue,XL,New Employee,"A stylish blue sweater from Adidas, perfect for new employees."
FI015,Jacket,Adidas,173.87,White,L,New Employee,"A stylish white jacket from Adidas, perfect for new employees."
FI016,Dress,Prada,24.17,Pink,XS,Executive,"A stylish pink dress from Prada, perfect for executives."
FI017,Blazer,Zara,81.08,Red,S,New Employee,"A stylish red blazer from Zara, perfect for new employees."
FI018,Shoes,Zara,120.93,Blue,S,College Student,"A stylish blue shoes from Zara, perfect for college students."
FI019,T-shirt,H&M,303.74,Green,XS,Executive,"A stylish green t-shirt from H&M, perfect for executives."
FI020,T-shirt,Zara,487.2,Pink,M,College Student,"A stylish pink t-shirt from Zara, perfect for college students."
FI021,Shoes,Uniqlo,248.86,Yellow,L,College Student,"A stylish yellow shoes from Uniqlo, perfect for college students."
FI022,T-shirt,Uniqlo,393.52,Yellow,XS,College Student,"A stylish yellow t-shirt from Uniqlo, perfect for college students."
FI023,Blazer,Adidas,239.13,Red,L,New Employee,"A stylish red blazer from Adidas, perfect for new employees."
FI024,Skirt,Uniqlo,465.44,Yellow,L,Executive,"A stylish yellow skirt from Uniqlo, perfect for executives."
FI025,Shoes,Uniqlo,195.37,White,XL,College Student,"A stylish white shoes from Uniqlo, perfect for college students."
FI026,T-shirt,Gucci,72.23,White,XL,College Student,"A stylish white t-shirt from Gucci, perfect for college students."
FI027,Jeans,Adidas,398.83,Green,M,New Employee,"A stylish green jeans from Adidas, perfect for new employees."
FI028,Sweater,Adidas,90.53,Red,XS,College Student,"A stylish red sweater from Adidas, perfect for college students."
FI029,Shoes,Nike,332.59,Blue,S,College Student,"A stylish blue shoes from Nike, perfect for college students."
FI030,Shoes,Zara,39.96,Red,M,Executive,"A stylish red shoes from Zara, perfect for executives."
FI031,Jeans,Levi's,91.47,Blue,XL,College Student,"A stylish blue jeans from Levi's, perfect for college students."
FI032,Jacket,H&M,230.73,Red,L,New Employee,"A stylish red jacket from H&M, perfect for new employees."
FI033,T-shirt,H&M,166.23,Pink,M,Executive,"A stylish pink t-shirt from H&M, perfect for executives."
FI034,Jeans,Adidas,360.56,Pink,XL,New Employee,"A stylish pink jeans from Adidas, perfect for new employees."
FI035,Sweater,Levi's,464.02,Pink,XL,New Employee,"A stylish pink sweater from Levi's, perfect for new employees."
FI036,Jacket,Nike,383.56,Blue,S,College Student,"A stylish blue jacket from Nike, perfect for college students."
FI037,Skirt,Nike,383.94,Blue,XS,Executive,"A stylish blue skirt from Nike, perfect for executives."
FI038,Shoes,Prada,361.13,Pink,S,New Employee,"A stylish pink shoes from Prada, perfect for new employees."
FI039,Sweater,Gucci,422.6,Black,S,New Employee,"A stylish black sweater from Gucci, perfect for new employees."
FI040,Dress,Uniqlo,240.23,Yellow,XL,Executive,"A stylish yellow dress from Uniqlo, perfect for executives."
FI041,Shoes,H&M,457.02,Red,L,Executive,"A stylish red shoes from H&M, perfect for executives."
FI042,T-shirt,Zara,332.59,Black,XL,Executive,"A stylish black t-shirt from Zara, perfect for executives."
FI043,Skirt,Prada,262.14,Black,L,New Employee,"A stylish black skirt from Prada, perfect for new employees."
FI044,Shoes,H&M,474.08,Red,M,College Student,"A stylish red shoes from H&M, perfect for college students."
FI045,Dress,Zara,402.67,Yellow,XS,Executive,"A stylish yellow dress from Zara, perfect for executives."
FI046,Dress,Levi's,457.86,Yellow,M,New Employee,"A stylish yellow dress from Levi's, perfect for new employees."
FI047,Dress,Prada,137.65,Blue,XL,Executive,"A stylish blue dress from Prada, perfect for executives."
FI048,Shoes,Levi's,254.18,Grey,L,New Employee,"A stylish grey shoes from Levi's, perfect for new employees."
FI049,Dress,Nike,47.67,Black,L,New Employee,"A stylish black dress from Nike, perfect for new employees."
FI050,Jacket,Levi's,289.44,Black,S,New Employee,"A stylish black jacket from Levi's, perfect for new employees."
FI051,Sweater,Uniqlo,174.61,Green,S,Executive,"A stylish green sweater from Uniqlo, perfect for executives."
FI052,Shoes,Zara,80.93,Pink,XS,Executive,"A stylish pink shoes from Zara, perfect for executives."
FI053,Dress,Gucci,242.8,Yellow,XL,New Employee,"A stylish yellow dress from Gucci, perfect for new employees."
FI054,Jeans,Uniqlo,332.85,Blue,M,New Employee,"A stylish blue jeans from Uniqlo, perfect for new employees."
FI055,Skirt,Uniqlo,495.93,Green,M,Executive,"A stylish green skirt from Uniqlo, perfect for executives."
FI056,Jeans,Zara,224.98,Green,M,College Student,"A stylish green jeans from Zara, perfect for college students."
FI057,Jeans,Uniqlo,265.75,Grey,S,New Employee,"A stylish grey jeans from Uniqlo, perfect for new employees."
FI058,Skirt,Levi's,181.83,Blue,L,Executive,"A stylish blue skirt from Levi's, perfect for executives."
FI059,T-shirt,Prada,294.34,Pink,M,Executive,"A stylish pink t-shirt from Prada, perfect for executives."
FI060,Skirt,Zara,476.31,Red,M,New Employee,"A stylish red skirt from Zara, perfect for new employees."
FI061,Jacket,Zara,107.68,Grey,L,Executive,"A stylish grey jacket from Zara, perfect for executives."
FI062,Dress,Adidas,370.52,Grey,XS,Executive,"A stylish grey dress from Adidas, perfect for executives."
FI063,Jacket,Nike,447.22,Red,M,New Employee,"A stylish red jacket from Nike, perfect for new employees."
FI064,Jacket,H&M,474.33,Blue,L,Executive,"A stylish blue jacket from H&M, perfect for executives."
FI065,T-shirt,Nike,344.12,Black,L,College Student,"A stylish black t-shirt from Nike, perfect for college students."
FI066,Jeans,Nike,489.95,White,XL,College Student,"A stylish white jeans from Nike, perfect for college students."
FI067,T-shirt,Prada,397.6,Grey,M,College Student,"A stylish grey t-shirt from Prada, perfect for college students."
FI068,Skirt,Adidas,273.23,Black,S,College Student,"A stylish black skirt from Adidas, perfect for college students."
FI069,Shoes,Gucci,273.98,Black,S,College Student,"A stylish black shoes from Gucci, perfect for college students."
FI070,T-shirt,Prada,94.04,Green,L,College Student,"A stylish green t-shirt from Prada, perfect for college students."
FI071,Blazer,H&M,359.91,Yellow,S,Executive,"A stylish yellow blazer from H&M, perfect for executives."
FI072,T-shirt,Prada,369.96,Blue,M,Executive,"A stylish blue t-shirt from Prada, perfect for executives."
FI073,Skirt,Zara,474.51,Yellow,L,New Employee,"A stylish yellow skirt from Zara, perfect for new employees."
FI074,Shoes,Prada,272.32,Black,S,College Student,"A stylish black shoes from Prada, perfect for college students."
FI075,Dress,Levi's,190.82,Black,L,College Student,"A stylish black dress from Levi's, perfect for college students."
FI076,Sweater,Levi's,232.22,White,XL,Executive,"A stylish white sweater from Levi's, perfect for executives."
FI077,Shoes,Zara,245.05,Black,S,College Student,"A stylish black shoes from Zara, perfect for college students."
FI078,Jacket,H&M,97.76,Yellow,XS,College Student,"A stylish yellow jacket from H&M, perfect for college students."
FI079,Jacket,H&M,236.78,Green,S,College Student,"A stylish green jacket from H&M, perfect for college students."
FI080,Jeans,Prada,262.48,White,XL,Executive,"A stylish white jeans from Prada, perfect for executives."
FI081,Shoes,Nike,242.34,White,L,College Student,"A stylish white shoes from Nike, perfect for college students."
FI082,Jacket,Gucci,185.54,White,S,College Student,"A stylish white jacket from Gucci, perfect for college students."
FI083,T-shirt,Gucci,319.46,Blue,XS,New Employee,"A stylish blue t-shirt from Gucci, perfect for new employees."
FI084,Jacket,Gucci,258.05,Green,M,New Employee,"A stylish green jacket from Gucci, perfect for new employees."
FI085,T-shirt,Levi's,176.5,White,M,New Employee,"A stylish white t-shirt from Levi's, perfect for new employees."
FI086,Jeans,Nike,374.53,Green,S,Executive,"A stylish green jeans from Nike, perfect for executives."
FI087,Jacket,Adidas,295.29,Red,L,Executive,"A stylish red jacket from Adidas, perfect for executives."
FI088,Dress,Uniqlo,333.38,Red,L,College Student,"A stylish red dress from Uniqlo, perfect for college students."
FI089,Skirt,Levi's,215.38,Blue,XL,New Employee,"A stylish blue skirt from Levi's, perfect for new employees."
FI090,Jacket,Nike,475.82,Yellow,M,New Employee,"A stylish yellow jacket from Nike, perfect for new employees."
FI091,Sweater,Uniqlo,122.45,Red,XL,New Employee,"A stylish red sweater from Uniqlo, perfect for new employees."
FI092,Jacket,Prada,454.23,Red,S,Executive,"A stylish red jacket from Prada, perfect for executives."
FI093,Jacket,Zara,361.17,Red,S,College Student,"A stylish red jacket from Zara, perfect for college students."
FI094,Blazer,Prada,148.78,Black,M,Executive,"A stylish black blazer from Prada, perfect for executives."
FI095,Dress,Nike,457.21,White,S,New Employee,"A stylish white dress from Nike, perfect for new employees."
FI096,Blazer,Nike,422.67,Blue,L,Executive,"A stylish blue blazer from Nike, perfect for executives."
FI097,Dress,Adidas,457.57,Green,XL,College Student,"A stylish green dress from Adidas, perfect for college students."
FI098,Blazer,Adidas,70.8,Red,L,Executive,"A stylish red blazer from Adidas, perfect for executives."
FI099,Skirt,H&M,431.46,White,XS,College Student,"A stylish white skirt from H&M, perfect for college students."
FI100,Sweater,Gucci,45.42,Yellow,L,Executive,"A stylish yellow sweater from Gucci, perfect for executives."
